index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
0	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720"	directory	false	0	stored	0	00000000	0	0	[2026,7,21,2,18,50]	3	20	20	1106051072	040755	0	55540d0007aa825e6ac9865e6ac9865e6a75780b000104e803000004e8030000	
1	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/pipeline-summary.md"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/pipeline-summary.md"	file	false	8	deflated	8	03d3a516	443	976	[2026,7,21,2,18,50]	3	20	20	2175008768	100644	109	55540d0007aa825e6abc865e6aba865e6a75780b000104e803000004e8030000	
2	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/pipeline.log"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/pipeline.log"	file	false	8	deflated	8	c7b7e8d7	7948	34719	[2026,7,21,2,18,50]	3	20	20	2175008768	100644	696	55540d0007aa825e6aba865e6aba865e6a75780b000104e803000004e8030000	
3	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/tlc-resources.json"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/tlc-resources.json"	file	false	8	deflated	8	357ac5f4	57	69	[2026,7,20,16,23,52]	3	20	20	2175008768	100644	8781	55540d000738f75d6abc865e6abc865e6a75780b000104e803000004e8030000	
4	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/full-pipeline-console.log"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/full-pipeline-console.log"	file	false	8	deflated	8	a4f73b65	40312	209732	[2026,7,21,2,18,50]	3	20	20	2175008768	100644	8981	55540d0007aa825e6abc865e6abc865e6a75780b000104e803000004e8030000	
5	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/run.json"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/run.json"	file	false	8	deflated	8	e4be78ce	369	882	[2026,7,20,16,23,52]	3	20	20	2175008768	100644	49443	55540d000738f75d6abc865e6abc865e6a75780b000104e803000004e8030000	
6	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,16,23,52]	3	20	20	1106051072	040755	49945	55540d000738f75d6abc865e6abc865e6a75780b000104e803000004e8030000	
7	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output"	directory	false	0	stored	0	00000000	0	0	[2026,7,21,2,18,48]	3	20	20	1106051072	040755	50063	55540d0007a8825e6abc865e6abc865e6a75780b000104e803000004e8030000	
8	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/bug-classification.last-message.txt"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/bug-classification.last-message.txt"	file	false	8	deflated	8	de6ea128	231	322	[2026,7,21,2,18,46]	3	20	20	2175008768	100644	50197	55540d0007a7825e6aba865e6aba865e6a75780b000104e803000004e8030000	
9	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-gen.resume.json"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-gen.resume.json"	file	false	8	deflated	8	bd2b75aa	136	174	[2026,7,20,17,16,46]	3	20	20	2172649472	100600	50613	55540d00079f035e6aba865e6aba865e6a75780b000104e803000004e8030000	
10	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-validation.pid"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-validation.pid"	file	false	8	deflated	8	feda8411	10	8	[2026,7,21,0,49,20]	3	20	20	2175008768	100644	50919	55540d0007b06d5e6aba865e6aba865e6a75780b000104e803000004e8030000	
11	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,18,36,38]	3	20	20	1106051072	040755	51098	55540d000756165e6aba865e6aba865e6a75780b000104e803000004e8030000	
12	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/run.sh"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/run.sh"	file	false	8	deflated	8	3c5a89cd	2391	5955	[2026,7,20,18,22,4]	3	20	20	2179792896	100755	51240	55540d0007ed125e6aba865e6aba865e6a75780b000104e803000004e8030000	
13	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/instrument.py"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/instrument.py"	file	false	8	deflated	8	57b14bfb	3010	15017	[2026,7,20,18,33,4]	3	20	20	2179792896	100755	53795	55540d000780155e6aba865e6aba865e6a75780b000104e803000004e8030000	
14	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/INSTRUMENTATION.md"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/INSTRUMENTATION.md"	file	false	8	deflated	8	98dcc907	2943	6886	[2026,7,20,18,36,10]	3	20	20	2175008768	100644	56976	55540d00073b165e6aba865e6aba865e6a75780b000104e803000004e8030000	
15	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/apply.sh"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/apply.sh"	file	false	8	deflated	8	de7587b7	840	2076	[2026,7,20,18,22,30]	3	20	20	2179792896	100755	60095	55540d000706135e6aba865e6aba865e6a75780b000104e803000004e8030000	
16	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,18,18,2]	3	20	20	1106051072	040755	61101	55540d0007fb115e6aba865e6aba865e6a75780b000104e803000004e8030000	
17	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_labels.h"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_labels.h"	file	false	8	deflated	8	0bf53e36	532	2360	[2026,7,20,18,16,48]	3	20	20	2175008768	100644	61247	55540d0007b1115e6aba865e6aba865e6a75780b000104e803000004e8030000	
18	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/TlaTraceScenarioTest.cpp"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/TlaTraceScenarioTest.cpp"	file	false	8	deflated	8	fb0f70d7	1595	6101	[2026,7,20,18,28,42]	3	20	20	2175008768	100644	61953	55540d00077b145e6aba865e6aba865e6a75780b000104e803000004e8030000	
19	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_trace.h"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_trace.h"	file	false	8	deflated	8	c5b7719e	986	2622	[2026,7,20,18,13,18]	3	20	20	2175008768	100644	63734	55540d0007df105e6aba865e6aba865e6a75780b000104e803000004e8030000	
20	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_trace.cpp"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/tla_trace.cpp"	file	false	8	deflated	8	e0800a2b	5192	25776	[2026,7,20,18,31,10]	3	20	20	2175008768	100644	64893	55540d00070f155e6aba865e6aba865e6a75780b000104e803000004e8030000	
21	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/swss_cfg_compat.h"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness/src/swss_cfg_compat.h"	file	false	8	deflated	8	3b5834d7	252	759	[2026,7,20,18,16,48]	3	20	20	2175008768	100644	70260	55540d0007b1115e6aba865e6aba865e6a75780b000104e803000004e8030000	
22	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness-gen.pid"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/harness-gen.pid"	file	false	8	deflated	8	2f38dbac	9	7	[2026,7,20,18,3,0]	3	20	20	2175008768	100644	70691	55540d0007740e5e6aba865e6aba865e6a75780b000104e803000004e8030000	
23	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/.spec-repair-prompt.md"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/.spec-repair-prompt.md"	file	false	8	deflated	8	43467345	937	2101	[2026,7,21,0,49,20]	3	20	20	2175008768	100644	70865	55540d0007b06d5e6aba865e6aba865e6a75780b000104e803000004e8030000	
24	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-gen.log"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-gen.log"	file	false	8	deflated	8	a82fbc00	4266	15111	[2026,7,20,18,2,56]	3	20	20	2175008768	100644	71974	55540d0007710e5e6aba865e6aba865e6a75780b000104e803000004e8030000	
25	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-validation.activity.jsonl"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/spec-validation.activity.jsonl"	file	false	8	deflated	8	4d1ed3dd	24827	159685	[2026,7,20,21,12,42]	3	20	20	2175008768	100644	76402	55540d0007eb3a5e6aba865e6aba865e6a75780b000104e803000004e8030000	
26	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/.spec-gen-prompt.md"	"sonic-linkmgrd-vm-codex-gpt56-sol-max-20260720/linkmgrd/.specula-output/.spec-gen-prompt.md"	file	false	8	deflated	8	8a52db15	625	2191	[2026,7,20,17,16,46]	3	20	20	2175008768	100644	101409	55540d00079e035e6aba865e6aba865e6a75780b000104e803000004e8030000	
