row	module	evidence	severity	novelty	finding
1	dash-ha	medium/MC-3	Critical	Known	peer ASIC Standby ACK gate missing before Pending Active
2	dash-ha	medium/CR-5	Critical	New	Active persisted but BulkSync completion lost on crash
3	dash-ha	xhigh/MC-5	Critical	Known	delete/recreate race drops new SET via old actor
4	dash-ha	high/MC-5	Critical	New	cleanup reports success before dependencies are restored and leaves HA/BFD/route residue
5	fdb	max/MC-1	Critical	Known	delayed FLUSHED deletes post-flush relearn incarnation
6	fdb	high/MC-3	Critical	New	old-port AGE deletes new-port binding
7	fdb	high/MC-5	Critical	New	MCLAG kernel programming failure loses retry and causes bad flooding
8	fdb	xhigh/MC-1	Critical	New	queued old SAI LEARN overwrites newer local owner
9	fdb	xhigh/MC-3	Critical	New	VXLAN FDB still references deleted NHG
10	fdb	xhigh/MC-4	Critical	New	warm replay deletes unchanged APP_DB FDB row
11	iccpd	medium/MC-1	Critical	New	peer send failure still advances sync and permanently loses ARP/ND progress
12	iccpd	high/MC-3 + xhigh/MC-2	Critical	New	mclagsyncd FDB ADD/DEL failure recorded as success
13	iccpd	max/MC-3	Critical	New	traffic-disable failure leaves MLAG port forwarding
14	iccpd	xhigh/CR-5	Critical	New	stale generation interface-up ACK enables traffic
15	iccpd	medium/CR-5	Critical	New	concurrent ARP/ND crossing leaves peers with opposite mappings
16	linkmgrd	high/MC-5	Critical	New	double-decrements warm-restart pending count and prematurely marks RECONCILED
17	linkmgrd	medium/MC-1	Critical	New	hardware session replacement reuses old Active evidence
18	linkmgrd	xhigh/MC-3	Critical	New	Auto cleanup publishes RECONCILED before persisted cleanup
19	linkmgrd	xhigh/MC-1	Critical	New	delayed Standby completion overwrites newer Active config
20	linkmgrd	xhigh/MC-4	Critical	New	link-down as final init event leaves physical MUX Active
21	linkmgrd	xhigh/MC-5	Critical	New	lost peer-Standby actuation has no automatic retry
22	warmreboot	high/MC-4	Critical	New	interrupted docker cp leaves truncated RDB and Redis startup permanently fails
23	warmreboot	max/MC-3	Critical	New	READY before orchagent actually completes freeze fence
24	warmreboot	max/MC-4	Critical	Known	VID/RID replacement tables become non-inverse and translation fails after reboot
25	warmreboot	medium/MC-1	Critical	New	snapshot distribution failure starts warm swss from old Redis generation
26	warmreboot	xhigh/MC-6	Critical	New	Fabric/DPU warm lifecycle incomplete; SET success before vendor SAI
27	warmreboot	xhigh/MC-7	Critical	Known	nondeterministic virtual-router match creates duplicate RIF and service exit
28	warmreboot	xhigh/MC-8	Critical	New	route and label share wrong warm helper, causing cross-table write or label drop
29	dash-ha	medium/MC-1	High	New	compound config update silently skips later fields
30	dash-ha	medium/MC-2	High	New	peer replacement accepts old vote reply
31	dash-ha	high/MC-2	High	New	delayed HA-set retry rolls pairing back to old peer
32	dash-ha	xhigh/MC-3	High	New	actor transaction returns OK before commit and sender clears retry
33	dash-ha	xhigh/MC-4	High	New	VoteRequest timeout is silently dropped and election stalls after recovery
34	fdb	high/MC-4	High	New	LRU dedupe loses MAC MOVE count and bypasses move guard
35	iccpd	xhigh/CR-1	High	New	wrong-RG application frame bypasses RG/session guard
36	iccpd	medium/MC-3	High	New	function-static prev_state suppresses second MCLAG domain reconciliation
37	iccpd	xhigh/MC-3	High	New	lost neighbor event has no complete resnapshot
38	iccpd	xhigh/CR-3	High	New	live Sync Request pushes EXCHANGE to ERROR
39	linkmgrd	high/MC-1	High	New	delayed heartbeat reply credited to newer probe generation
40	linkmgrd	high/MC-2	High	New	delayed peer Active command bypasses local route eligibility
41	linkmgrd	medium/CR-4	High	New	publishes Healthy long-term before hardware confirms Active
42	warmreboot	high/MC-1	High	New	rebootbackend restart loses accepted reboot ownership/status
43	warmreboot	high/MC-2	High	New	finalizer snapshot omits late warm-aware component and global warm finalizes early
44	warmreboot	max/MC-1	High	Known	concurrent reboot old cleanup clears newer attempt flags
45	warmreboot	medium/MC-3	High	New	NAT restore ignores failure and deletes only retry artifact
46	warmreboot	medium/MC-4	High	New	multi-ASIC stop for ASIC1 kills ASIC0 swss
47	warmreboot	xhigh/MC-5	High	Known	flex-counter permanently uses temporary VID with empty RID
48	warmreboot	xhigh/MC-9	High	New	LAG member partial failure loses retry and leaves teamd residue
49	warmreboot	xhigh/MC-12	High	Known	finalizer ignores or times out live participant then clears flag, causing cold-start flush
50	fdb	max/MC-3	Medium	Known	VTEP replacement credits new member refcount to old endpoint
51	fdb	medium/MC-3	Medium	New	same-port MOVE permanently raises per-port FDB count
52	linkmgrd	high/MC-3	Medium	New	two-stage dispatch drops intermediate composite transition/TX suspension
